,struct_typ,year_built,no_stories,meandamage
667,4,1946,1.0,0.13634
668,4,1984,1.0,0.18216
669,5,1937,1.0,0.12653
670,3,2004,1.0,0.11442
671,3,2008,1.0,0.10372
672,3,2008,1.0,0.11925
673,3,2001,1.0,0.10959
674,3,2002,1.0,0.1014
675,4,1995,1.0,0.1985
676,1,1997,3.0,0.2029099999999999
677,4,1992,1.0,0.19357
678,5,1945,0.0,0.13068
679,3,1998,1.0,0.10858
680,4,1992,1.0,0.1952
681,4,1936,1.0,0.12648
682,5,1926,1.0,0.11821
683,4,1951,1.0,0.14037
684,4,2000,1.0,0.20986
685,3,1995,1.0,0.10582
686,4,2006,1.0,0.22321
687,4,1991,1.0,0.19134
688,4,1951,1.0,0.1388
689,3,2011,1.0,0.12077
690,3,1994,1.0,0.10492
691,3,1994,1.0,0.106
692,4,1987,1.0,0.18659
693,1,2006,1.0,0.22554
694,4,1993,1.0,0.19752
695,5,1956,1.0,0.14048
696,4,1991,1.0,0.1937299999999999
697,5,2003,1.0,0.19558
698,5,1936,1.0,0.12539
699,5,2001,2.0,0.19092
700,5,2010,2.0,0.20661
701,5,1951,1.0,0.13557
702,5,1926,1.0,0.11821
703,3,1991,1.0,0.1028299999999999
704,4,1995,1.0,0.19976
705,4,1926,1.0,0.11919
706,5,1945,1.0,0.13119
707,4,1959,1.0,0.14875
708,4,1975,1.0,0.16833
709,4,1975,1.0,0.16837
710,4,1975,1.0,0.1682
711,4,1975,1.0,0.16815
712,4,1975,1.0,0.16817
713,5,1926,1.0,0.1187
714,5,1916,1.0,0.1127599999999999
715,4,1992,1.0,0.19576
716,3,1994,1.0,0.10643
717,1,2014,4.0,0.2203099999999999
718,3,1995,1.0,0.10689
719,4,1975,1.0,0.16821
720,4,1975,1.0,0.16821
721,4,1975,1.0,0.16824
722,4,1975,1.0,0.16826
723,4,2005,1.0,0.22269
724,4,2002,1.0,0.21623
725,3,1999,1.0,0.11054
726,5,1945,1.0,0.13145
727,3,2005,1.0,0.11594
728,4,1996,2.0,0.20313
729,4,1999,1.0,0.20998
730,1,2005,2.0,0.2237699999999999
731,3,1994,2.0,0.09651
732,3,2007,1.0,0.11698
733,3,1993,1.0,0.10493
734,1,2008,3.0,0.2300699999999999
735,1,2006,1.0,0.22562
736,3,1946,1.0,0.07715
737,4,1998,1.0,0.20697
738,4,2005,1.0,0.2226699999999999
739,4,1999,2.0,0.20779
740,4,1996,2.0,0.20138
741,1,1997,3.0,0.20155
742,4,1995,1.0,0.19954
743,4,1979,2.0,0.17256
744,1,1997,3.0,0.2036
745,4,1979,2.0,0.1725
746,4,1979,1.0,0.17253
747,4,1979,1.0,0.17212
748,4,1979,2.0,0.17218
749,4,1985,2.0,0.18145
750,4,1985,2.0,0.18149
751,3,1997,1.0,0.0898
752,4,1979,2.0,0.17237
753,4,1985,2.0,0.1813799999999999
754,1,1997,3.0,0.2035799999999999
755,1,2004,3.0,0.21789
756,1,2004,3.0,0.21783
757,1,2004,3.0,0.21774
758,1,2004,3.0,0.21765
759,1,2003,1.0,0.2154
760,1,2003,1.0,0.2153199999999999
761,4,1984,1.0,0.17922
762,1,2004,3.0,0.19827
763,1,2000,3.0,0.2086199999999999
764,1,2000,3.0,0.20863
765,1,2013,3.0,0.2411199999999999
766,1,2011,4.0,0.23329
767,1,2010,4.0,0.23046
768,1,2006,3.0,0.22255
769,1,2006,3.0,0.22261
770,1,2004,3.0,0.2178699999999999
771,1,2012,4.0,0.2308599999999999
772,1,2012,4.0,0.2309
773,1,1994,2.0,0.19831
774,4,1992,2.0,0.19448
775,1,2013,5.0,0.19538
776,1,2013,5.0,0.19902
777,3,2015,1.0,0.12243
778,1,2015,3.0,0.23943
779,1,2012,4.0,0.23066
780,1,2012,4.0,0.2307
781,1,2013,5.0,0.2066199999999999
782,1,2013,4.0,0.24061
783,1,2012,4.0,0.23078
784,1,2013,4.0,0.24059
785,1,2013,4.0,0.23356
786,1,2012,4.0,0.23801
787,1,2004,3.0,0.2192599999999999
788,1,2004,3.0,0.2193
789,1,2004,3.0,0.2193099999999999
790,1,2004,3.0,0.21916
791,1,2002,2.0,0.2147599999999999
