,magnitude,dmin,latitude,longitude
643,7.1,0.0,-20.617,169.357
644,6.7,0.0,-1.034,126.976
645,7.5,0.0,1.065,126.282
646,8.1,0.0,46.243,154.524
647,6.9,0.0,21.974,120.493
648,7.1,0.0,21.799,120.547
649,8.3,0.0,46.592,153.266
650,6.6,0.0,-6.482,151.195
651,6.7,0.0,-13.457,-76.677
652,6.7,0.0,-5.881,150.982
653,6.7,0.0,19.877,-155.935
654,6.9,0.0,-16.592,-172.033
655,6.8,0.0,-6.759,155.512
656,6.5,0.0,51.148,157.522
657,6.8,0.0,-15.798,167.789
658,7.7,0.0,-9.284,107.419
659,6.5,0.0,-5.724,151.133
660,6.6,0.0,60.772,165.743
661,6.8,0.0,0.093,97.05
662,8.0,0.0,-20.187,-174.123
663,8.0,0.0,-19.99,-173.907
664,6.5,0.0,-27.211,-71.056
665,6.7,0.0,-27.017,-71.022
666,6.6,0.0,60.491,167.516
667,7.6,0.0,60.949,167.089
668,6.5,0.0,-16.527,176.989
669,6.7,0.0,-3.595,127.214
670,7.0,0.0,-21.324,33.583
671,6.7,0.0,36.311,23.212
672,6.6,0.0,28.164,-112.117
673,6.5,0.0,36.357,71.093
674,6.8,0.0,-6.224,29.83
675,6.5,0.0,38.089,142.122
676,6.5,0.0,2.164,96.786
677,6.8,0.0,-22.361,-67.895
678,7.6,0.0,34.539,73.588
679,6.6,0.0,-5.437,151.84
680,7.5,0.0,-5.678,-76.398
681,7.6,0.0,-4.539,153.474
682,7.2,0.0,38.276,142.039
683,7.2,0.0,7.92,92.19
684,6.7,0.0,1.819,97.082
685,6.6,0.0,11.245,-86.172
686,7.2,0.0,41.292,-125.953
687,7.8,0.0,-19.987,-69.197
688,6.9,0.0,1.989,97.041
689,6.7,0.0,0.587,98.459
690,6.5,0.0,-1.714,99.779
691,6.7,0.0,-1.644,99.607
692,8.6,0.0,2.085,97.108
693,6.6,0.0,33.807,130.131
694,7.1,0.0,-6.527,129.933
695,6.8,0.0,2.908,95.592
696,6.5,0.0,-5.562,122.129
697,6.5,0.0,4.756,126.421
698,6.7,0.0,-14.252,167.259
699,7.1,0.0,5.293,123.337
700,6.6,0.0,34.064,141.491
701,6.6,0.0,8.879,92.375
702,7.2,0.0,6.91,92.958
703,9.1,0.0,3.295,95.982
704,8.1,0.0,-49.312,161.345
705,6.8,0.0,18.958,-81.409
706,6.8,0.0,42.9,145.228
707,7.0,0.0,43.006,145.119
